src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
2800:3f0:4001:800::2005,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,39174,6130,15,159.32403111457825,11.38028793675559,30.068981604704724,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:800::2005,TLS,39174,443,2311,10,159.2566168308258,17.695179647869534,26.888581026382024,0
2800:3f0:4001:800::2005,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,39166,6388,18,159.32049298286438,9.371793704874376,27.249943554837035,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:800::2005,TLS,39166,443,6668,15,159.25346302986145,11.375247359275818,22.726543303460062,0
2800:3f0:4001:800::2005,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,39166,6365,15,117.9103729724884,8.422169498034886,21.179411798301132,0
2800:3f0:4001:800::2005,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,39174,3713,9,116.90393996238708,14.612992495298386,27.013168311749524,0
192.168.15.2,192.168.15.1,DNS,45959,53,158,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.2,192.168.15.1,DNS,37132,53,160,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,37132,204,2,0.00033211708068847656,0.00033211708068847656,,0
192.168.15.1,192.168.15.2,DNS,53,45959,244,2,0.0001468658447265625,0.0001468658447265625,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83c::200e,QUIC,40472,443,2796,12,0.15006399154663086,0.013642181049693714,0.015167296083448982,0
2800:3f0:4001:83c::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,40472,10071,14,0.13108086585998535,0.010083143527691182,0.01538378163449424,0
192.168.15.3,224.0.0.252,LLMNR,56045,5355,74,1,0.0,0.0,,0
192.168.15.2,192.168.15.1,DNS,60952,53,170,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
